Diameter,RMR,Overburden Height(m),Loading,Max Total displacement (m)
5,30,20,0,0.000822331
5,35,20,0,0.000616741
5,40,20,0,0.000462421
5,50,20,0,0.00026002
5,30,50,0,0.00194003
5,35,50,0,0.00145502
5,40,50,0,0.00109091
5,50,50,0,0.000613438
5,30,100,0,0.00428491
5,35,100,0,0.00308921
5,40,100,0,0.00229281
5,50,100,0,0.00128841
5,30,200,0,0.0102911
5,35,200,0,0.0070204
5,40,200,0,0.0048405
5,50,200,0,0.00254541
5,30,20,0.1,0.00152
5,35,20,0.1,0.00114
5,40,20,0.1,0.00085473
5,50,20,0.1,0.00048062
5,30,50,0.1,0.00204101
5,35,50,0.1,0.0015308
5,40,50,0.1,0.0011477
5,50,50,0.1,0.000645372
5,30,100,0.1,0.0061474
5,35,100,0.1,0.0044501
5,40,100,0.1,0.0033078
5,50,100,0.1,0.0018595
5,30,200,0.1,0.010576
5,35,200,0.1,0.0069427
5,40,200,0.1,0.004697
5,50,200,0.1,0.0024449
5,30,20,0.2,0.002457
5,35,20,0.2,0.0018428
5,40,20,0.2,0.0013817
5,50,20,0.2,0.00077691
5,30,50,0.2,0.00243611
5,35,50,0.2,0.00182708
5,40,50,0.2,0.00136987
5,50,50,0.2,0.000770277
5,30,100,0.2,0.0092637
5,35,100,0.2,0.0069237
5,40,100,0.2,0.0051874
5,50,100,0.2,0.0029167
5,30,200,0.2,0.011474
5,35,200,0.2,0.0076103
5,40,200,0.2,0.00522993
5,50,200,0.2,0.00292661
10,30,20,0,0.0016599
10,35,20,0,0.001245
10,40,20,0,0.00093347
10,50,20,0,0.00052489
10,30,50,0,0.0035778
10,35,50,0,0.0026834
10,40,50,0,0.002012
10,50,50,0,0.0011313
10,30,100,0,0.00874824
10,35,100,0,0.00624765
10,40,100,0,0.00464443
10,50,100,0,0.00261162
10,30,200,0,0.0200124
10,35,200,0,0.0136563
10,40,200,0,0.00946647
10,50,200,0,0.00500708
10,30,20,0.1,0.0026159
10,35,20,0.1,0.001962
10,40,20,0.1,0.0014711
10,50,20,0.1,0.00082717
10,30,50,0.1,0.0039372
10,35,50,0.1,0.002953
10,40,50,0.1,0.0022141
10,50,50,0.1,0.001245
10,30,100,0.1,0.010284
10,35,100,0.1,0.00731001
10,40,100,0.1,0.00541321
10,50,100,0.1,0.0030434
10,30,200,0.1,0.0208074
10,35,200,0.1,0.013582
10,40,200,0.1,0.0092096
10,50,200,0.1,0.004788
10,30,20,0.2,0.0035837
10,35,20,0.2,0.0026879
10,40,20,0.2,0.0020153
10,50,20,0.2,0.0011332
10,30,50,0.2,0.0042993
10,35,50,0.2,0.0032246
10,40,50,0.2,0.0024177
10,50,50,0.2,0.0013594
10,30,100,0.2,0.013111
10,35,100,0.2,0.0093898
10,40,100,0.2,0.00695281
10,50,100,0.2,0.0039087
10,30,200,0.2,0.0219983
10,35,200,0.2,0.014339
10,40,200,0.2,0.0097419
10,50,200,0.2,0.0050737
15,30,20,0,0.0027965
15,35,20,0,0.0020973
15,40,20,0,0.0015725
15,50,20,0,0.00088424
15,30,50,0,0.0054665
15,35,50,0,0.0040998
15,40,50,0,0.003074
15,50,50,0,0.0017285
15,30,100,0,0.012907
15,35,100,0,0.0092901
15,40,100,0,0.0069073
15,50,100,0,0.0038836
15,30,200,0,0.029222
15,35,200,0,0.0190962
15,40,200,0,0.0135322
15,50,200,0,0.00680955
15,30,20,0.1,0.0039022
15,35,20,0.1,0.0029267
15,40,20,0.1,0.0021944
15,50,20,0.1,0.0012339
15,30,50,0.1,0.0058856
15,35,50,0.1,0.0044142
15,40,50,0.1,0.0033097
15,50,50,0.1,0.001861
15,30,100,0.1,0.014287
15,35,100,0.1,0.010111
15,40,100,0.1,0.0074719
15,50,100,0.1,0.0041998
15,30,200,0.1,0.030536
15,35,200,0.1,0.0198771
15,40,200,0.1,0.013593
15,50,200,0.1,0.0068524
15,30,20,0.2,0.0050306
15,35,20,0.2,0.003773
15,40,20,0.2,0.0028289
15,50,20,0.2,0.0015907
15,30,50,0.2,0.0063059
15,35,50,0.2,0.0047294
15,40,50,0.2,0.003546
15,50,50,0.2,0.0019939
15,30,100,0.2,0.017259
15,35,100,0.2,0.012285
15,40,100,0.2,0.0090736
15,50,100,0.2,0.0050998
15,30,200,0.2,0.0318741
15,35,200,0.2,0.0208151
15,40,200,0.2,0.014277
15,50,200,0.2,0.00690226
